Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor,search key,download URL
52,Big Fat Liar,"$48,360,547","2,534","$48,360,547",Feb 8,Universal Pictures,Big Fat Liar subtitles cat,https://www.subtitlecat.com/subs/55/Big%20Fat%20Liar%20English.html
53,The Royal Tenenbaums,"$43,127,147",999,"$52,364,010",Dec 14,Walt Disney Studios Motion Pictures,The Royal Tenenbaums subtitles cat,https://subtitlecat.com/subs/87/The%20Royal%20Tenenbaums%20ENG.html
54,Reign of Fire,"$43,061,982","2,629","$43,061,982",Jul 12,Walt Disney Studios Motion Pictures,Reign of Fire subtitles cat,https://www.subtitlecat.com/subs/603/Reign.of.Fire.2002.1080p.BrRip.x264.YIFY.html
55,High Crimes,"$41,543,917","2,747","$41,543,917",Apr 5,Twentieth Century Fox,High Crimes subtitles cat,https://subtitlecat.com/subs/585/High.Crimes..html
56,About a Boy,"$41,385,278","1,756","$41,385,278",May 17,Universal Pictures,About a Boy subtitles cat,https://www.subtitlecat.com/subs/904/About%20A%20Boy.DVDRip.2002.en.html
57,A Walk to Remember,"$41,281,092","2,420","$41,281,092",Jan 25,Warner Bros.,A Walk to Remember subtitles cat,https://www.subtitlecat.com/subs/54/A%20Walk%20To%20Remember%20%282002%29.en.html
58,Orange County,"$41,076,018","2,317","$41,076,018",Jan 11,Paramount Pictures,Orange County subtitles cat,https://www.subtitlecat.com/subs/217/Orange.County.2002.720p.WEBRip.x264.AAC-%20YTS.MX%20NO-HI-English.html
59,Windtalkers,"$40,914,068","2,898","$40,914,068",Jun 14,Metro-Goldwyn-Mayer (MGM),Windtalkers subtitles cat,https://subtitlecat.com/subs/513/Windtalkers.2002.1080p.BluRay.x264.AAC5.1-%5BYTS.MX%5D.html
60,Gosford Park,"$40,895,232",918,"$41,308,615",Dec 26,USA Films,Gosford Park subtitles cat,https://www.subtitlecat.com/subs/801/Gosford.Park.2001.720p.BluRay.x264-%5BYTS.AG%5D.html
61,Blue Crush,"$40,390,647","3,015","$40,390,647",Aug 16,Universal Pictures,Blue Crush subtitles cat,https://subtitlecat.com/subs/439/Blue.Crush.2002.720p.BluRay.x264.%5BYTS.MX%5D-English.html
62,The Master of Disguise,"$40,388,794","2,568","$40,388,794",Aug 2,Revolution Studios,The Master of Disguise subtitles cat,N/A
63,I Am Sam,"$40,263,224","1,450","$40,311,852",Dec 28,New Line Cinema,I Am Sam subtitles cat,https://www.subtitlecat.com/subs/393/I.Am.Sam.2001..html
64,Resident Evil,"$40,119,709","2,528","$40,119,709",Mar 15,Screen Gems,Resident Evil subtitles cat,https://subtitlecat.com/subs/861/Resident%20Evil%202002.html
65,Collateral Damage,"$40,077,257","2,824","$40,077,257",Feb 8,Warner Bros.,Collateral Damage subtitles cat,https://www.subtitlecat.com/subs/468/Collateral.Damage.2002.720p.BluRay.x264.AAC-%5BYTS.MX%5D.eng.html
66,Enough,"$40,007,742","2,623","$40,007,742",May 24,Sony Pictures Releasing,Enough subtitles cat,https://subtitlecat.com/subs/26/Enough.2002.720p.WEBRip.x264-%5BYTS.AM%5D.html
67,Drumline,"$39,116,389","1,837","$56,399,184",Dec 13,Twentieth Century Fox,Drumline subtitles cat,https://subtitlecat.com/subs/548/Drumline%20%282002%29.html
68,Undercover Brother,"$39,089,928","2,169","$39,089,928",May 31,Universal Pictures,Undercover Brother subtitles cat,https://www.subtitlecat.com/subs/729/Undercover.Brother.2002.720p.BluRay.x264-%5BYTS.LT%5D-English.html
69,Showtime,"$38,082,712","2,917","$38,082,712",Mar 15,Warner Bros.,Showtime subtitles cat,https://www.subtitlecat.com/subs/122/Showtime.2002.1080p.WEBRip.x264-%5BYTS.LT%5D.html
70,40 Days and 40 Nights,"$37,950,822","2,399","$37,950,822",Mar 1,Miramax,40 Days and 40 Nights subtitles cat,https://subtitlecat.com/subs/639/40%20Days%20and%2040%20nights%202002%20DVDRip%20english-English.html
71,Crossroads,"$37,191,304","2,713","$37,191,304",Feb 15,Paramount Pictures,Crossroads subtitles cat,https://subtitlecat.com/subs/215/Crossroads%20%282002%29.html
72,Clockstoppers,"$36,989,956","2,563","$36,989,956",Mar 29,Paramount Pictures,Clockstoppers subtitles cat,https://www.subtitlecat.com/subs/4/Clockstoppers.2002.WEB-DL.x264-RARB1GEng.html
73,The Mothman Prophecies,"$35,746,370","2,331","$35,746,370",Jan 25,Screen Gems,The Mothman Prophecies subtitles cat,https://www.subtitlecat.com/subs/211/The.Mothman.Prophecies.2002.720p.BluRay.x264-%5BYTS.AM%5D-English.html
74,Star Trek: Nemesis,"$35,494,352","2,711","$43,254,409",Dec 13,Paramount Pictures,Star Trek: Nemesis subtitles cat,https://subtitlecat.com/subs/856/Star.Trek.Nemesis.2002.REMASTERED.1080p.BluRay.x264.AAC5.1-%5BYTS.MX%5D.html
76,Jimmy Neutron: Boy Genius,"$35,234,466","3,151","$80,936,232",Dec 21,Paramount Pictures,Jimmy Neutron: Boy Genius subtitles cat,https://subtitlecat.com/subs/168/Jimmy.Neutron.Boy.Genius.2001.1080p.WEBRip.DD5.1.x264-QOQ.html
77,K-19: The Widowmaker,"$35,168,966","2,830","$35,168,966",Jul 19,Paramount Pictures,K-19: The Widowmaker subtitles cat,https://subtitlecat.com/subs/642/K-19%20the%20Widowmaker%202002%20.html
78,Gangs of New York,"$34,325,000","2,340","$77,812,000",Dec 20,Miramax,Gangs of New York subtitles cat,https://www.subtitlecat.com/subs/5/gangs-of-new-york-yify-english.html
79,In the Bedroom,"$33,985,039","1,103","$35,930,604",Nov 23,Miramax,In the Bedroom subtitles cat,https://www.subtitlecat.com/subs/236/In.The.Bedroom.2001.720p.WEBRip.x264.AAC-%20YTS.MX-English.html
80,Treasure Planet,"$33,767,017","3,227","$38,176,783",Nov 27,Walt Disney Studios Motion Pictures,Treasure Planet subtitles cat,https://www.subtitlecat.com/subs/226/Treasure.Planet.2002.1080p.BluRay.x264.YIFY.html
81,I Spy,"$33,297,730","3,182","$33,561,137",Nov 1,Sony Pictures Releasing,I Spy subtitles cat,https://www.subtitlecat.com/subs/238/I.Spy.2002.720p.BluRay.x264-%5BYTS.LT%5D.html
82,Friday After Next,"$32,351,900","1,621","$33,253,609",Nov 22,New Line Cinema,Friday After Next subtitles cat,https://subtitlecat.com/subs/479/Friday.After.Next.2002.1080p.WEBRip..x264.AC3-ETRG.English.html
83,Vanilla Sky,"$31,997,193","2,842","$100,618,344",Dec 14,Paramount Pictures,Vanilla Sky subtitles cat,https://www.subtitlecat.com/subs/24/Vanilla.Sky.2001.1080p.BluRay.x264.VPPV.html
84,Murder by Numbers,"$31,945,749","2,663","$31,945,749",Apr 19,Warner Bros.,Murder by Numbers subtitles cat,https://www.subtitlecat.com/subs/363/Murder.by.Numbers._English.html
85,One Hour Photo,"$31,587,882","1,332","$31,597,131",Aug 21,Fox Searchlight Pictures,One Hour Photo subtitles cat,https://www.subtitlecat.com/subs/12/One.Hour.Photo.2002.720p.BluRay.x264-HD4U.html
86,Monster's Ball,"$31,111,028",714,"$31,273,922",Dec 26,Lionsgate,Monster's Ball subtitles cat,https://www.subtitlecat.com/subs/47/Monsters.Ball.2001.720p.BluRay.x264-SiNNERS.English.html
87,Halloween: Resurrection,"$30,354,442","2,094","$30,354,442",Jul 12,Dimension Films,Halloween: Resurrection subtitles cat,https://www.subtitlecat.com/subs/6/Halloween%20Resurrection%202002.html
88,Queen of the Damned,"$30,336,800","2,511","$30,336,800",Feb 22,Warner Bros.,Queen of the Damned subtitles cat,https://www.subtitlecat.com/subs/200/Queen.of.the.Damned.2002.1080p.BluRay.x264.YIFY.CHI.html
89,Dragonfly,"$30,323,400","2,507","$30,323,400",Feb 22,Universal Pictures,Dragonfly subtitles cat,https://subtitlecat.com/subs/504/Dragonfly.2002.en.html
90,The Banger Sisters,"$30,307,416","2,739","$30,307,416",Sep 20,Fox Searchlight Pictures,The Banger Sisters subtitles cat,https://www.subtitlecat.com/subs/87/The.Banger.Sisters.2002.720p.WEBRip.x264-%5BYTS.AM%5D.html
91,Bad Company,"$30,160,161","2,944","$30,160,161",Jun 7,Walt Disney Studios Motion Pictures,Bad Company subtitles cat,https://www.subtitlecat.com/subs/855/Bad%20Company%202002%20-%20EN.html
92,Space Station 3D,"$30,126,705",64,"$93,383,953",Apr 19,IMAX,Space Station 3D subtitles cat,https://www.subtitlecat.com/subs/136/Space%20Station%202002%20DOCU%201080p%20BluRay%20x264%20DTS%20FGT.Eng.html
93,Kate & Leopold,"$29,899,574","2,467","$47,121,859",Dec 25,Miramax,Kate & Leopold subtitles cat,https://www.subtitlecat.com/subs/55/Kate.and.Leopold.2001.720p.BluRay.x264.VPPV.html
94,The New Guy,"$29,760,152","2,687","$29,760,152",May 10,Revolution Studios,The New Guy subtitles cat,https://www.subtitlecat.com/subs/795/The.New.Guy.2002.WEB-DLRip.720p-English.html
95,Ghost Ship,"$29,662,862","2,787","$30,113,491",Oct 25,Warner Bros.,Ghost Ship subtitles cat,https://www.subtitlecat.com/subs/172/Ghost%20Ship%20-%202002.html
96,Harry Potter and the Sorcerer's Stone,"$29,059,541","3,672","$317,575,550",Nov 16,Warner Bros.,Harry Potter and the Sorcerer's Stone subtitles cat,
97,Analyze That,"$28,739,707","2,635","$32,130,627",Dec 6,Warner Bros.,Analyze That subtitles cat,
98,Swimfan,"$28,564,995","2,860","$28,564,995",Sep 6,Twentieth Century Fox,Swimfan subtitles cat,
99,The Crocodile Hunter: Collision Course,"$28,442,574","2,535","$28,442,574",Jul 12,Metro-Goldwyn-Mayer (MGM),The Crocodile Hunter: Collision Course subtitles cat,
100,Brown Sugar,"$27,273,283","1,378","$27,363,891",Oct 11,Fox Searchlight Pictures,Brown Sugar subtitles cat,
101,Blood Work,"$26,235,081","2,525","$26,235,081",Aug 9,Warner Bros.,Blood Work subtitles cat,
102,All About the Benjamins,"$25,916,319","1,519","$25,916,319",Mar 8,New Line Cinema,All About the Benjamins subtitles cat,
103,The Transporter,"$25,272,510","2,610","$25,296,447",Oct 11,Twentieth Century Fox,The Transporter subtitles cat,
104,Jonah: A VeggieTales Movie,"$25,230,712","1,625","$25,581,229",Oct 4,Artisan Entertainment,Jonah: A VeggieTales Movie subtitles cat,
105,The Sweetest Thing,"$24,718,164","2,670","$24,718,164",Apr 12,Sony Pictures Releasing,The Sweetest Thing subtitles cat,
107,The Hot Chick,"$23,995,607","2,246","$35,081,594",Dec 13,Walt Disney Studios Motion Pictures,The Hot Chick subtitles cat,
108,Eight Crazy Nights,"$23,341,502","2,503","$23,586,598",Nov 27,Sony Pictures Releasing,Eight Crazy Nights subtitles cat,
