rank,title,gross,theaters,total gross,release date,distributor,download URL
53,Sideways,"$50,635,185","$1,786","$71,503,593",Oct 22,Fox Searchlight Pictures,https://www.subtitlecat.com/subs/927/Sideways.2004.html
54,Diary of a Mad Black Woman,"$50,633,099","$1,703","$50,633,099",Feb 25,Lionsgate,https://www.subtitlecat.com/subs/189/Diary%20of%20a%20Mad%20Black%20Woman%202005_eng.html
55,"Yours, Mine & Ours","$50,328,659","$3,210","$53,412,862",Nov 23,Paramount Pictures,https://subtitlecat.com/subs/1093/Yours.Mine.Ours.2005.1080p.BluRay.x264.AAC5.1-%5BYTS.MX%5D-eng.html
56,Racing Stripes,"$49,772,522","$3,185","$49,772,522",Jan 14,Warner Bros.,https://www.subtitlecat.com/subs/26/Racing.Stripes.2005.720p.WEB-DL.DD5.1.H.264-alfaHD.html
57,Miss Congeniality 2: Armed & Fabulous,"$48,478,006","$3,233","$48,478,006",Mar 24,Warner Bros.,https://www.subtitlecat.com/subs/26/Miss.Congeniality.2.Armed.and.Fabulous.2005.x264.DTS.2AUDIO-WAF.Eng.html
58,Just Like Heaven,"$48,318,130","$3,543","$48,318,130",Sep 16,DreamWorks Distribution,https://www.subtitlecat.com/subs/207/Just.Like.Heaven.2005.1080p.AMZN.WEBRip.DD5.1.x264-NTb.html
59,The Skeleton Key,"$47,907,715","$2,784","$47,907,715",Aug 12,Universal Pictures,https://subtitlecat.com/subs/754/The.Skeleton.Key.2005.1080p.BrRip.x264.YIFY.html
60,Kingdom of Heaven,"$47,398,413","$3,219","$47,398,413",May 6,Twentieth Century Fox,https://www.subtitlecat.com/subs/15/Kingdom.Of.Heaven.2005.Directors.Cut.Roadshow.Version.1080p.BluRay.H264.AAC-RARBG.html
61,Boogeyman,"$46,752,382","$3,052","$46,752,382",Feb 4,Screen Gems,https://www.subtitlecat.com/subs/224/Boogeyman.2005.1080p.BluRay.x265-RARBG.html
62,Cheaper by the Dozen 2,"$45,958,914","$3,211","$82,571,173",Dec 21,Twentieth Century Fox,https://www.subtitlecat.com/subs/663/Cheaper.by.the.Dozen.2.2005.WEBRip.iTunes.html
63,In Good Company,"$45,695,490","$1,963","$45,806,659",Dec 29,Universal Pictures,https://subtitlecat.com/subs/36/In.Good.Company.2004.720p.BluRay-x264.html
64,The Legend of Zorro,"$45,383,726","$3,520","$46,464,023",Oct 28,Sony Pictures Releasing,https://www.subtitlecat.com/subs/26/Legend.of.Zorro.2005.1080p.BrRip.x264.YIFY.html
65,Must Love Dogs,"$43,894,863","$2,505","$43,894,863",Jul 29,Warner Bros.,https://www.subtitlecat.com/subs/744/Must.Love.Dogs.2005.1080p.WEBRip.x264-%5BYTS.LT%5D-English.html
66,Transporter 2,"$43,095,856","$3,320","$43,095,856",Sep 2,Twentieth Century Fox,https://www.subtitlecat.com/subs/1342/02%20Transporter%202%20Uncut%20-%20Action%202005%20English.html
67,Fever Pitch,"$42,071,069","$3,275","$42,071,069",Apr 8,Twentieth Century Fox,https://www.subtitlecat.com/subs/152/Fever%20Pitch.html
68,The Family Stone,"$41,405,336","$2,469","$60,062,868",Dec 16,Twentieth Century Fox,https://www.subtitlecat.com/subs/151/The.Family.Stone.2005.1080p.WEBRip.DD5.1.x264-Web4HD%20eng.html
69,The Adventures of Sharkboy and Lavagirl 3-D,"$39,177,708","$2,655","$39,177,684",Jun 10,Dimension Films,https://www.subtitlecat.com/subs/788/%5Bzmk.pw%5DThe.Adventures.of.Sharkboy.and.Lavagirl.3-D.2005.1080p.BluRay.x264.DTS-FGT.chs.html
70,The Sisterhood of the Traveling Pants,"$39,053,061","$2,583","$39,053,061",Jun 1,Warner Bros.,https://subtitlecat.com/subs/356/The.Sisterhood.of.the.Traveling.Pants.2005.1080p.WEBRip.DD5.1.x264-monkee-English.html
71,The Phantom of the Opera,"$38,311,922","$1,515","$51,268,815",Dec 22,Warner Bros.,https://subtitlecat.com/subs/230/The.Phantom.of.the.Opera.2004.1080p.BluRay.x264.YIFY.html
72,The Brothers Grimm,"$37,917,584","3,098","$37,916,267",Aug 26,Dimension Films,https://www.subtitlecat.com/subs/663/The.Brothers.Grimm.2005.1080p.BluRay.x264.AAC5.1-%5BYTS.MX%5D-eng.html
73,Beauty Shop,"$36,351,350","$2,659","$36,351,350",Mar 30,Metro-Goldwyn-Mayer (MGM),https://www.subtitlecat.com/subs/146/Beauty.Shop.2005.html
74,Syriana,"$36,147,858","$1,775","$50,824,620",Nov 23,Warner Bros.,https://www.subtitlecat.com/subs/423/Syriana.2005.720p.BrRip.x264.YIFY.html
75,The Island,"$35,818,913","$3,138","$35,818,913",Jul 22,DreamWorks Distribution,https://www.subtitlecat.com/subs/543/The.Island.2005.720p.BrRip.x264.YIFY.ENG.html
76,Derailed,"$35,667,597","$2,447","$36,024,076",Nov 11,The Weinstein Company,https://subtitlecat.com/subs/975/Derailed%20%5B2005%5D.html
77,Hostage,"$34,636,671","$2,183","$34,639,939",Mar 11,Miramax,https://subtitlecat.com/subs/112/Hostage.2005.1080p.BluRay.H264.AAC-RARBG.ell.html
78,A Series of Unfortunate Events,"$33,877,477","$3,623","$118,634,549",Dec 17,Paramount Pictures,https://www.subtitlecat.com/subs/329/A.Series.of.Unfortunate.Events.2004.1080p.BluRay.H264.AAC-RARBG.en.html
79,The Constant Gardener,"$33,578,235","$1,387","$33,579,797",Aug 31,Focus Features,https://www.subtitlecat.com/subs/206/The.Constant.Gardener.2005.1080p.BluRay.x265-RARBG.html
80,Pride & Prejudice,"$33,174,127","$1,335","$38,591,603",Nov 11,Focus Features,https://www.subtitlecat.com/subs/383/Pride.and.Prejudice.2005.1080p.BluRay.x265-RARBG.html
81,Bad News Bears,"$32,868,349","$3,183","$32,868,349",Jul 22,Paramount Pictures,https://www.subtitlecat.com/subs/357/Bad%20News%20Bears%20%282005%29.eng.html
82,In Her Shoes,"$32,828,678","$2,840","$32,880,591",Oct 7,Twentieth Century Fox,https://www.subtitlecat.com/subs/332/In.Her.Shoes.2005.INTERNAL.BDRip.x264.ARCHiViST-1.html
83,Because of Winn-Dixie,"$32,647,042","$3,188","$32,647,042",Feb 18,Twentieth Century Fox,https://www.subtitlecat.com/subs/605/Because%20Of%20Winn%20Dixie%20-%20Family%202005%20English.html
84,Dreamer,"$32,605,604","$2,735","$32,751,093",Oct 21,DreamWorks Distribution,https://subtitlecat.com/subs/28/Dreamer%202005.html
